SignalType,Xsections,N_orig,Group,SigOrBG,MassOfLQ,HTRemoveIfGreater,CastorDirectory,DressedFile
#WJetsToLNu_TuneZ2_scaledown,31314,9982235,WJets_ScaleDown,0,0,999999999,/store/group/phys_exotica/leptonsPlusJets/leptoquarks/NTuples_V00_02_06/RootNtuple-V00-02-06-Summer11MC_ShapeSys_MG_20111208_222140,/afs/cern.ch/work/d/darinb/LQAnalyzerOutput/GenTuples/GenPatch_MadGraphDressedMuskimMod.root
#WJetsToLNu_TuneZ2_scaleup,31314,9656985,WJets_ScaleUp,0,0,999999999,/store/group/phys_exotica/leptonsPlusJets/leptoquarks/NTuples_V00_02_06/RootNtuple-V00-02-06-Summer11MC_ShapeSys_MG_20111208_222140,/afs/cern.ch/work/d/darinb/LQAnalyzerOutput/GenTuples/GenPatch_MadGraphDressedMuskimMod.root
#ZJetsToLL_TuneZ2_scaledown,3048,1658995,ZJets_ScaleDown,0,0,999999999,/store/group/phys_exotica/leptonsPlusJets/leptoquarks/NTuples_V00_02_06/RootNtuple-V00-02-06-Summer11MC_ShapeSys_MG_20111208_222140,/afs/cern.ch/work/d/darinb/LQAnalyzerOutput/GenTuples/GenPatch_MadGraphDressedMuskimMod.root
#ZJetsToLL_TuneZ2_scaleup,3048,1593052,ZJets_ScaleUp,0,0,999999999,/store/group/phys_exotica/leptonsPlusJets/leptoquarks/NTuples_V00_02_06/RootNtuple-V00-02-06-Summer11MC_ShapeSys_MG_20111208_222140,/afs/cern.ch/work/d/darinb/LQAnalyzerOutput/GenTuples/GenPatch_MadGraphDressedMuskimMod.root
#TTjets_TuneZ2_matchingdown,165,1044017,TTJets_MatchDown,0,0,999999999,/store/group/phys_exotica/leptonsPlusJets/leptoquarks/NTuples_V00_02_06/RootNtuple-V00-02-06-Summer11MC_ShapeSys_MG_20111208_222140,/afs/cern.ch/work/d/darinb/LQAnalyzerOutput/GenTuples/GenPatch_MadGraphDressedMuskimMod.root
#TTjets_TuneZ2_matchingup,165,1062792,TTJets_MatchUp,0,0,999999999,/store/group/phys_exotica/leptonsPlusJets/leptoquarks/NTuples_V00_02_06/RootNtuple-V00-02-06-Summer11MC_ShapeSys_MG_20111208_222140,/afs/cern.ch/work/d/darinb/LQAnalyzerOutput/GenTuples/GenPatch_MadGraphDressedMuskimMod.root
#WJetsToLNu_TuneZ2_matchingdown,31314,9956679,WJets_MatchDown,0,0,999999999,/store/group/phys_exotica/leptonsPlusJets/leptoquarks/NTuples_V00_02_06/RootNtuple-V00-02-06-Summer11MC_ShapeSys_MG_20111208_222140,/afs/cern.ch/work/d/darinb/LQAnalyzerOutput/GenTuples/GenPatch_MadGraphDressedMuskimMod.root
#WJetsToLNu_TuneZ2_matchingup,31314,10419809,WJets_MatchUp,0,0,999999999,/store/group/phys_exotica/leptonsPlusJets/leptoquarks/NTuples_V00_02_06/RootNtuple-V00-02-06-Summer11MC_ShapeSys_MG_20111208_222140,/afs/cern.ch/work/d/darinb/LQAnalyzerOutput/GenTuples/GenPatch_MadGraphDressedMuskimMod.root
#ZJetsToLL_TuneZ2_matchingdown,3048,1615032,ZJets_MatchDown,0,0,999999999,/store/group/phys_exotica/leptonsPlusJets/leptoquarks/NTuples_V00_02_06/RootNtuple-V00-02-06-Summer11MC_ShapeSys_MG_20111208_222140,/afs/cern.ch/work/d/darinb/LQAnalyzerOutput/GenTuples/GenPatch_MadGraphDressedMuskimMod.root
#ZJetsToLL_TuneZ2_matchingup,3048,1608540,ZJets_MatchUp,0,0,999999999,/store/group/phys_exotica/leptonsPlusJets/leptoquarks/NTuples_V00_02_06/RootNtuple-V00-02-06-Summer11MC_ShapeSys_MG_20111208_222140,/afs/cern.ch/work/d/darinb/LQAnalyzerOutput/GenTuples/GenPatch_MadGraphDressedMuskimMod.root
#WToLNu_,31314,9903910,WJets_Sherpa,0,0,999999999,/store/group/phys_exotica/leptonsPlusJets/leptoquarks/NTuples_V00_02_06/RootNtuple-V00-02-06-Summer11MC_WJets_SHERPA_20110903_031551,/afs/cern.ch/work/d/darinb/LQAnalyzerOutput/GenTuples/GenPatch_MadGraphDressedMuskimMod.root
WToLNu_,31314,9599777,WJets_Sherpa,0,0,999999999,/store/group/phys_smp/WPlusJets/ntuples/NTuples_V00_02_06/RootNtuple-V00-02-06-Summer11MC_WJetsSherpa_20130523_222145,/afs/cern.ch/work/d/darinb/LQAnalyzerOutput/GenTuples/GenPatch_MadGraphDressedMuskimMod.root
#WminusToENu,4286,4848543,Wpowheg,0,0,999999999,/store/group/phys_exotica/leptonsPlusJets/leptoquarks/NTuples_V00_02_06/RootNtuple-V00-02-06-Summer11MC_WJetsPowhegPythia_20130304_051227,/afs/cern.ch/work/d/darinb/LQAnalyzerOutput/GenTuples/GenPatch_MadGraphDressedMuskimMod.root
#WminusToMuNu,4286,4819005,Wpowheg,0,0,999999999,/store/group/phys_exotica/leptonsPlusJets/leptoquarks/NTuples_V00_02_06/RootNtuple-V00-02-06-Summer11MC_WJetsPowhegPythia_20130304_051227,/afs/cern.ch/work/d/darinb/LQAnalyzerOutput/GenTuples/GenPatch_MadGraphDressedMuskimMod.root
#WminusToTauNu,4286,4605810,Wpowheg,0,0,999999999,/store/group/phys_exotica/leptonsPlusJets/leptoquarks/NTuples_V00_02_06/RootNtuple-V00-02-06-Summer11MC_WJetsPowhegPythia_20130304_051227,/afs/cern.ch/work/d/darinb/LQAnalyzerOutput/GenTuples/GenPatch_MadGraphDressedMuskimMod.root
#WplusToENu,6152,4942746,Wpowheg,0,0,999999999,/store/group/phys_exotica/leptonsPlusJets/leptoquarks/NTuples_V00_02_06/RootNtuple-V00-02-06-Summer11MC_WJetsPowhegPythia_20130304_051227,/afs/cern.ch/work/d/darinb/LQAnalyzerOutput/GenTuples/GenPatch_MadGraphDressedMuskimMod.root
#WplusToMuNu,6152,4918057,Wpowheg,0,0,999999999,/store/group/phys_exotica/leptonsPlusJets/leptoquarks/NTuples_V00_02_06/RootNtuple-V00-02-06-Summer11MC_WJetsPowhegPythia_20130304_051227,/afs/cern.ch/work/d/darinb/LQAnalyzerOutput/GenTuples/GenPatch_MadGraphDressedMuskimMod.root
#WplusToTauNu,6152,4792946,Wpowheg,0,0,999999999,/store/group/phys_exotica/leptonsPlusJets/leptoquarks/NTuples_V00_02_06/RootNtuple-V00-02-06-Summer11MC_WJetsPowhegPythia_20130304_051227,/afs/cern.ch/work/d/darinb/LQAnalyzerOutput/GenTuples/GenPatch_MadGraphDressedMuskimMod.root
