SignalType,Xsections,N_orig,Group,SigOrBG,MassOfLQ,RescalingInfo,CastorDirectory
WJetsToLNu_300_HT,54.68,4069040,WJets_HighHT,0,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Summer2011MC/RootNtuple-V00-02-05-Summer11MC_WJets_HT300_MG_20110821_003434
WW,43,4120269,DiBoson,0,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Summer2011MC/RootNtuple-V00-02-05-Summer11MC_DiBoson_PYTHIA_20110725_222014
ZZ,5.9,4083188,DiBoson,0,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Summer2011MC/RootNtuple-V00-02-05-Summer11MC_DiBoson_PYTHIA_20110725_222014
WZ,18.2,4158612,DiBoson,0,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Summer2011MC/RootNtuple-V00-02-05-Summer11MC_DiBoson_PYTHIA_20110725_222014
DYJetsToLL,3048,35915185,ZJetsMG,0,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Summer2011MC/RootNtuple-V00-02-05-Summer11MC_ZJets_MG_20110715_205129
QCD_Pt-15to20_MuPt5Enriched,1668096,2423110,QCDMu,0,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Summer2011MC/RootNtuple-V00-02-05-Summer11MC_QCDMuEnriched_PYTHIA_20110716_160703
QCD_Pt-20to30_MuPt5Enriched,1342184,9385015,QCDMu,0,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Summer2011MC/RootNtuple-V00-02-05-Summer11MC_QCDMuEnriched_PYTHIA_20110716_160703
QCD_Pt-30to50_MuPt5Enriched,596506.8,5231465,QCDMu,0,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Summer2011MC/RootNtuple-V00-02-05-Summer11MC_QCDMuEnriched_PYTHIA_20110716_160703
QCD_Pt-50to80_MuPt5Enriched,140039,9747189,QCDMu,0,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Summer2011MC/RootNtuple-V00-02-05-Summer11MC_QCDMuEnriched_PYTHIA_20110716_160703
QCD_Pt-80to120_MuPt5Enriched,28509.9,6980435,QCDMu,0,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Summer2011MC/RootNtuple-V00-02-05-Summer11MC_QCDMuEnriched_PYTHIA_20110716_160703
QCD_Pt-120to150_MuPt5Enriched,4522.95,7212388,QCDMu,0,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Summer2011MC/RootNtuple-V00-02-05-Summer11MC_QCDMuEnriched_PYTHIA_20110716_160703
QCD_Pt-150_MuPt5Enriched,2870.5,3721921,QCDMu,0,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Summer2011MC/RootNtuple-V00-02-05-Summer11MC_QCDMuEnriched_PYTHIA_20110716_160703
LQToCMu_M-250_7TeV-pythia6__Summer11,3.47,50388,LQToCMu_M_250,1,250,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Summer2011MC/RootNtuple-V00-02-05-Summer11MC_LQToCMu_BetaOne_20110715_234554
LQToCMu_M-350_7TeV-pythia6__Summer11,0.477,56279,LQToCMu_M_350,1,350,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Summer2011MC/RootNtuple-V00-02-05-Summer11MC_LQToCMu_BetaOne_20110715_234554
LQToCMu_M-400_7TeV-pythia6__Summer11,0.205,58680,LQToCMu_M_400,1,400,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Summer2011MC/RootNtuple-V00-02-05-Summer11MC_LQToCMu_BetaOne_20110715_234554
LQToCMu_M-450_7TeV-pythia6__Summer11,0.0948,68566,LQToCMu_M_450,1,450,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Summer2011MC/RootNtuple-V00-02-05-Summer11MC_LQToCMu_BetaOne_20110715_234554
LQToCMu_M-500_7TeV-pythia6__Summer11,0.0463,59998,LQToCMu_M_500,1,500,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Summer2011MC/RootNtuple-V00-02-05-Summer11MC_LQToCMu_BetaOne_20110715_234554
LQToCMu_M-550_7TeV-pythia6__Summer11,0.0236,73560,LQToCMu_M_550,1,550,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Summer2011MC/RootNtuple-V00-02-05-Summer11MC_LQToCMu_BetaOne_20110715_234554
LQToCMu_M-600_7TeV-pythia6__Summer11,0.0124,59868,LQToCMu_M_600,1,600,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Summer2011MC/RootNtuple-V00-02-05-Summer11MC_LQToCMu_BetaOne_20110715_234554
LQToCMu_M-650_7TeV-pythia6__Summer11,0.00676,58270,LQToCMu_M_650,1,650,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Summer2011MC/RootNtuple-V00-02-05-Summer11MC_LQToCMu_BetaOne_20110715_234554
LQToCMu_M-750_7TeV-pythia6__Summer11,0.00214,69539,LQToCMu_M_750,1,750,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Summer2011MC/RootNtuple-V00-02-05-Summer11MC_LQToCMu_BetaOne_20110715_234554
LQToCMu_M-850_7TeV-pythia6__Summer11,0.000732,61848,LQToCMu_M_850,1,850,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Summer2011MC/RootNtuple-V00-02-05-Summer11MC_LQToCMu_BetaOne_20110715_234554
LQToCMu_MuNuJJFilter_M-250_7TeV-pythia6__Summer11,1.735,67871,LQToCMu_BetaHalf_M_250,1,250,0,/castor/cern.ch/user/b/barfuss/LQ/RootNtuple_Summer2011MC/RootNtuple-V00-02-05-Summer11MC_LQToCMu_BetaHalf_20110716_012800
LQToCMu_MuNuJJFilter_M-350_7TeV-pythia6__Summer11,0.2385,53414,LQToCMu_BetaHalf_M_350,1,350,0,/castor/cern.ch/user/b/barfuss/LQ/RootNtuple_Summer2011MC/RootNtuple-V00-02-05-Summer11MC_LQToCMu_BetaHalf_20110716_012800
LQToCMu_MuNuJJFilter_M-400_7TeV-pythia6__Summer11,0.1025,55181,LQToCMu_BetaHalf_M_400,1,400,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Summer2011MC/RootNtuple-V00-02-05-Summer11MC_LQToCMu_BetaHalf_20110716_162735
LQToCMu_MuNuJJFilter_M-450_7TeV-pythia6__Summer11,0.0474,53180,LQToCMu_BetaHalf_M_450,1,450,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Summer2011MC/RootNtuple-V00-02-05-Summer11MC_LQToCMu_BetaHalf_20110716_162735
LQToCMu_MuNuJJFilter_M-500_7TeV-pythia6__Summer11,0.02315,64513,LQToCMu_BetaHalf_M_500,1,500,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Summer2011MC/RootNtuple-V00-02-05-Summer11MC_LQToCMu_BetaHalf_20110716_162735
LQToCMu_MuNuJJFilter_M-550_7TeV-pythia6__Summer11,0.0118,58840,LQToCMu_BetaHalf_M_550,1,550,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Summer2011MC/RootNtuple-V00-02-05-Summer11MC_LQToCMu_BetaHalf_20110716_162735
LQToCMu_MuNuJJFilter_M-600_7TeV-pythia6__Summer11,0.0062,63522,LQToCMu_BetaHalf_M_600,1,600,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Summer2011MC/RootNtuple-V00-02-05-Summer11MC_LQToCMu_BetaHalf_20110716_162735
LQToCMu_MuNuJJFilter_M-650_7TeV-pythia6__Summer11,0.00338,60860,LQToCMu_BetaHalf_M_650,1,650,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Summer2011MC/RootNtuple-V00-02-05-Summer11MC_LQToCMu_BetaHalf_20110716_162735
LQToCMu_MuNuJJFilter_M-750_7TeV-pythia6__Summer11,0.00107,60924,LQToCMu_BetaHalf_M_750,1,750,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Summer2011MC/RootNtuple-V00-02-05-Summer11MC_LQToCMu_BetaHalf_20110716_162735
LQToCMu_MuNuJJFilter_M-850_7TeV-pythia6__Summer11,0.000366,56214,LQToCMu_BetaHalf_M_850,1,850,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Summer2011MC/RootNtuple-V00-02-05-Summer11MC_LQToCMu_BetaHalf_20110716_162735
